date,vessel_arrivals,cargo_tonnage,container_teu,bulk_liquid,bulk_dry,roro_units,vessel_type,oil_price,baltic_index,eur_usd,weekday,holiday_be,holiday_eu,strike
2019-01-01,72,639025,15842,226607,128907,2241,Container,53.33,1344,1.1507,Tuesday,1,1,0
2019-01-02,79,843861,21321,293394,165241,2441,Tanker,58.31,1490,1.1669,Wednesday,0,1,0
2019-01-03,84,896983,22602,319324,180203,2464,Container,55.96,1265,1.1511,Thursday,0,0,0
2019-01-04,85,895794,22847,303999,177657,2446,Bulk,56.86,1404,1.1546,Friday,0,0,0
2019-01-05,78,767051,18983,260021,142215,2384,Bulk,60.9,1345,1.1404,Saturday,0,0,0
2019-01-06,76,718862,18328,252219,145224,2229,RoRo,58.1,1394,1.1504,Sunday,0,0,0
2019-01-07,86,919019,22631,323389,173177,2746,Tanker,58.45,1380,1.1591,Monday,0,0,0
2019-01-08,82,865022,20920,284502,174329,2644,Container,60.32,1323,1.1379,Tuesday,0,0,0
2019-01-09,97,945912,22999,335621,200175,2682,Container,56.26,1373,1.1559,Wednesday,0,0,0
2019-01-10,88,911890,22066,326889,180130,2450,Tanker,55.1,1271,1.1553,Thursday,0,0,0
2019-01-11,87,917205,23435,320249,174069,2509,Bulk,54.74,1396,1.1551,Friday,0,0,0
2019-01-12,77,776067,18644,295368,154197,2490,Tanker,52.24,1383,1.1655,Saturday,0,0,0
2019-01-13,74,726334,18295,247388,138611,2233,RoRo,64.56,1401,1.1589,Sunday,0,0,0
2019-01-14,86,925015,22992,320144,189759,2700,Container,55.34,1424,1.1708,Monday,0,0,0
2019-01-15,84,870603,21714,300760,172937,2553,Tanker,58.24,1392,1.1465,Tuesday,0,0,0
2019-01-16,79,895908,23080,312806,192860,2549,Tanker,58.33,1382,1.1582,Wednesday,0,0,0
2019-01-17,79,873037,21607,302276,183911,2439,Container,60.33,1332,1.1581,Thursday,0,0,0
2019-01-18,81,858508,21769,286410,170477,2478,Container,62.11,1343,1.147,Friday,0,0,0
2019-01-19,75,710044,17770,243050,147734,2284,Bulk,62.5,1439,1.1677,Saturday,0,0,0
2019-01-20,77,776974,19348,270965,152249,2469,RoRo,58.41,1453,1.1818,Sunday,0,0,0
2019-01-21,88,879264,23132,320028,176124,2430,Container,59.91,1371,1.1588,Monday,0,0,0
2019-01-22,82,927623,22470,346690,182633,2565,Container,61.5,1386,1.1645,Tuesday,0,0,0
2019-01-23,84,925504,23782,337281,191232,2593,Container,60.15,1340,1.1607,Wednesday,0,0,0
2019-01-24,87,850988,21603,290092,181662,2543,Tanker,65.96,1445,1.1531,Thursday,0,0,0
2019-01-25,82,846501,20923,289317,175689,2379,Container,62.86,1421,1.1425,Friday,0,0,0
2019-01-26,84,841932,21863,293083,175762,2331,RoRo,63.83,1486,1.154,Saturday,0,0,0
2019-01-27,84,769320,18309,287108,161248,2421,Bulk,63.85,1346,1.1476,Sunday,0,0,0
2019-01-28,82,884078,21841,307773,181226,2374,Tanker,65.61,1373,1.179,Monday,0,0,0
2019-01-29,84,890761,21665,298491,169038,2665,Container,62.87,1404,1.1612,Tuesday,0,0,0
2019-01-30,83,871104,21984,299875,187829,2491,Container,58.67,1426,1.1593,Wednesday,0,0,0
2019-01-31,79,892279,21750,319868,192891,2384,Container,63.98,1384,1.1721,Thursday,0,0,0
2019-02-01,81,846831,21387,303290,167495,2422,Container,61.06,1352,1.1524,Friday,0,0,0
2019-02-02,76,694927,17280,241222,136020,2280,Bulk,61.65,1440,1.1563,Saturday,0,0,0
2019-02-03,74,671045,16536,241700,139108,2153,Tanker,65.22,1433,1.1651,Sunday,0,0,0
2019-02-04,85,873821,22040,283106,179171,2513,Container,67.39,1352,1.1751,Monday,0,0,0
2019-02-05,81,842138,20919,295787,166812,2537,Container,63.96,1466,1.1703,Tuesday,0,0,0
2019-02-06,82,874285,21313,314607,164857,2491,Tanker,65.03,1457,1.1681,Wednesday,0,0,0
2019-02-07,85,833861,22247,283523,169218,2357,Container,69.42,1406,1.1668,Thursday,0,0,0
2019-02-08,80,834452,20618,283695,171302,2422,Bulk,65.25,1403,1.1705,Friday,0,0,0
2019-02-09,78,761204,17921,247757,158047,2483,RoRo,72.54,1428,1.1689,Saturday,0,0,0
2019-02-10,75,704194,17184,262367,143633,2425,RoRo,66.63,1357,1.157,Sunday,0,0,0
2019-02-11,88,874289,21224,298800,172689,2309,Container,59.85,1402,1.1681,Monday,0,0,0
2019-02-12,87,881561,22452,310957,184264,2631,Container,67.59,1293,1.1573,Tuesday,0,0,0
2019-02-13,80,879919,22159,314011,176511,2545,Container,66.67,1445,1.1693,Wednesday,0,0,0
2019-02-14,81,896709,22617,328969,175622,2637,Container,69.59,1323,1.1641,Thursday,0,0,0
2019-02-15,83,836670,20732,291296,165889,2400,Container,67.92,1476,1.1947,Friday,0,0,0
2019-02-16,75,719082,17837,246284,129849,2102,Tanker,65.67,1384,1.1693,Saturday,0,0,0
2019-02-17,70,655156,16193,231035,129573,2241,Bulk,62.6,1390,1.156,Sunday,0,0,0
2019-02-18,85,845912,21107,308910,174690,2375,Container,65.82,1369,1.1691,Monday,0,0,0
2019-02-19,85,884188,22522,307764,179556,2387,Tanker,64.07,1386,1.1761,Tuesday,0,0,0
2019-02-20,85,899404,22653,305243,192046,2417,Tanker,65.05,1471,1.188,Wednesday,0,0,0
2019-02-21,86,872657,22066,290022,172428,2569,Container,68.73,1275,1.1657,Thursday,0,0,0
2019-02-22,77,783920,19848,262159,160683,2390,Container,72.14,1463,1.1562,Friday,0,0,0
2019-02-23,82,755463,19329,273056,157435,2411,RoRo,68.47,1416,1.1806,Saturday,0,0,0
